firm,site_name,role,operator,city,country,address,lat,lon,coord_precision,status,gpu_count,gpu_type,power_mw,power_basis,capacity_note,confidence,evidence_count,evidence_url
DRW,DRW NX / Vigilant Global low-latency network (execution/relay endpoints),colocation,self (DRW NX / Vigilant Global) at exchange colo + microwave/shortwave relay,Aurora (CME) and multiple,USA / UK / EU / APAC,,41.7936,-88.1284,city_level,operational,,,,,"Execution/network tier, NOT research compute. DRW's own DRW NX page describes 'the fastest network in the world' and 'the first US and European low latency wireless networks', spanning North America (Aurora, Toronto, Chicago, Ashburn, New Jersey), Europe (Dublin, London, Frankfurt, Basildon, Bergamo) and APAC (Sydney, Tokyo, Singapore, Hong Kong). These are exchange-colocation and microwave/shortw",confirmed,2,https://www.drw.com/drw-nx
DRW,DRW headquarters (Chicago) - in-house HPC / research compute,office_hpc,self,Chicago,USA,"540 W Madison St, Suite 2500, Chicago, IL 60661",41.8819,-87.6412,exact,operational,,,,,"DRW's Chicago HQ. The firm's own live careers board shows Chicago engineering/infrastructure roles (Trade Systems Engineer, Senior FPGA Engineer, SRE - Algorithmic Trading). An in-house HPC/research cluster tied to Chicago was previously documented in a DRW HPC Systems Engineer job ad, but that specific listing is now dead (404), so the dedicated compute-room claim and any CPU-core figure are no l",inferred,2,https://www.drw.com/contact-us
Dharma Capital (ダルマ・キャピタル株式会社),JPX / PTS exchange colocation (Tokyo),colocation,"Japan Exchange Group (JPX) colocation; PTS venues (Japannext, Japan Alternative Market)",Tokyo,Japan,,35.6812,139.7671,city_level,operational,,,,,Trading servers placed in JPX and PTS colocation for latency-first HFT/market making; no rack count or MW disclosed. JPX Co-Location is at the JPX Primary Site in Tokyo; Dharma's specific footprint is undisclosed.,confirmed,2,https://www.dharmacapital.co.jp/
Dharma Capital (ダルマ・キャピタル株式会社),Toshiba Simulated Bifurcation Machine appliance in JPX colocation (Tokyo),colocation,Japan Exchange Group (JPX) colocation; hardware provided by Toshiba,Tokyo,Japan,,35.6812,139.7671,city_level,operational,,,,,"2021 world-first joint validation: a Toshiba Simulated Bifurcation Machine (quantum-inspired combinatorial-optimization appliance) installed within the TSE/JPX colocation area to run live HFT strategies on Japanese equities. A latency-sensitive appliance, not a general compute cluster; no MW or processor count disclosed.",confirmed,3,https://www.global.toshiba/jp/technology/corporate/rdc/rd/topics/21/2105-01.html
Dolat Capital,"Dolat Capital HQ, Naman Midtown, Prabhadevi",on_prem_hq,self,Mumbai,India,"A Wing-1203, 12th Floor, Naman Midtown, Senapati Bapat Marg, Prabhadevi, Mumbai 400 013",19.0093,72.83,exact,operational,,,,,"Registered head office of Dolat Capital Market Pvt Ltd, an NSE/BSE-member quantitative/algo trading and financial-services group. A related Dolat site describes low-latency trading infrastructure, but no on-site data centre, colocation hall, GPU/HPC count, or MW figure is disclosed for this address.",confirmed,2,https://www.dolatcapital.com/contact-us/
ExodusPoint,"ExodusPoint AWS cloud compute (public cloud, region undisclosed)",cloud_region,Amazon Web Services (AWS),New York,USA,,40.7607,-73.9725,symbolic,operational,,,,,"Cloud-only compute footprint. ExodusPoint's Enterprise Data group runs its data/compute platform on AWS (S3, Lambda, Glue, DataSync, EMR, Athena, Lake Formation, Kinesis) per recurring 'Software Engineer - Cloud Data Platform' postings (team based in New York). No AWS region, no MW, and no GPU/CPU counts are disclosed in the public record. Absence of a named region means this is a symbolic single-",inferred,3,https://simplify.jobs/p/5526315d-6321-416e-8235-c2c156ce9332/Software-Engineer
Final (פיינל),Final HQ (Ramat HaSharon) — on-prem GPU/HPC & trading infrastructure,on_prem_hq,self,Ramat HaSharon,Israel,"1 Yael Man St., Ramat HaSharon 4734501, Israel (firm's own contact page)",32.1461,34.8394,approximate,operational,"hundreds to thousands (self-reported in job ads; firm-wide, not attributed to a specific site)",,,,"Firm's own site self-reports aggregate compute of '40PB Data, 100K cores, 1PB RAM' for its ML-based HFT platform (firm-wide, not attributed to a single named building). Careers pages describe 'a large-scale global server and GPU infrastructure', a Data Center Operations role managing hardware 'across all company data centers' with per-rack power/airflow/cooling, GPU/HPC and InfiniBand deployment. ",confirmed,4,https://www.final.co.il/contact/
Five Rings,Five Rings HQ - 225 Liberty Street (Brookfield Place),on_prem_hq,self,New York,United States,"225 Liberty Street, 30th Floor, New York, NY 10281",40.7075,-74.0092,exact,operational,,,,,"Firm HQ / trading-systems engineering hub. No public evidence of a data-center-grade compute room, MW figure, or GPU/HPC cluster at this address. Careers page describes 'developing trading software in C++ on Linux ... a distributed system that spans the globe' but names no facility. AWS/Azure are NOT mentioned on the fetched positions page. Mapped as the firm's on-prem HQ anchor (symbolic for comp",confirmed,4,https://fiverings.com/contact/
Flow Traders,Flow Traders exchange-colocation & on-prem trading network (specific facilities undisclosed),undisclosed,self (bare-metal in third-party exchange colocation halls; specific colo operators not publicly named),Amsterdam,Netherlands,,,,symbolic,operational,,,,,"Firm's own postings reference a global trading network 'across data centers, exchange colocation environments, and cloud' and ultra-low-latency bare-metal / on-prem systems. Trading hubs span Europe, the U.S. and Asia-Pacific. However NO specific colocation facility (e.g. NY4, LD4, FR2, Carteret, Aurora) is named by the firm, and no public data-center tracker lists a Flow Traders facility. No MW, ",confirmed,3,https://www.flowtraders.com/careers/job-description/6743078
Flow Traders,"Flow Traders global cloud platform (GCP / GKE, plus AWS)",cloud_region,"Google Cloud Platform (primary, GKE); AWS (secondary)",Amsterdam,Netherlands,,52.3667,4.8945,symbolic,operational,,,,,"Firm's own job postings describe a GCP platform with a strong focus on GKE workloads, and list 'cloud platform environments (AWS and GCP)' as required knowledge. Trading platforms span ultra-low-latency bare-metal systems and cloud-native services (Terraform/IaC-managed). No specific GCP/AWS region, MW, GPU count, or cloud spend disclosed.",confirmed,3,https://www.builtinchicago.org/job/trading-systems-engineer/9409938
Flow Traders,"Flow Traders headquarters, Amsterdam",on_prem_hq,self,Amsterdam,Netherlands,"Jacob Bontiusplaats 9, 1018 LL Amsterdam, The Netherlands",52.3612,4.9101,exact,operational,,,,,"Corporate headquarters of Flow Traders (Euronext Amsterdam: FLOW). Careers materials reference maintaining the firm's software and hardware infrastructure. No evidence of a named HPC/GPU compute room beyond ordinary office/trading IT; treated as HQ, not a compute data center.",confirmed,2,https://www.flowtraders.com/about/where-we-operate/
Fount (파운트),"Fount HQ — cloud compute (AWS), symbolic pin at Seoul headquarters",cloud_region,Amazon Web Services (workloads run on AWS per job-ad tech stack; no named region/facility disclosed),Seoul,South Korea,"Gyeonggi Building 14F, 9 Namdaemun-ro 10-gil, Jung-gu, Seoul (서울특별시 중구 남대문로10길 9 경기빌딩 14층); lot: Samgak-dong 115, postal 04540",37.5673,126.9836,symbolic,operational,,,,,"Cloud-only robo-advisor / quant asset manager (BlueWhale / KAIDRA products; ML-driven asset allocation, not latency HFT). Fount's own Wanted backend-engineer posting lists a cloud-native stack (Python/Django/FastAPI/Pandas/NumPy, Twisted; MySQL/MariaDB/Redis; AWS, Docker, Jenkins, Git, ELK). No self-built data center, colocation hall, on-prem GPU/HPC room, or named AWS region/facility is disclosed",inferred,4,https://www.wanted.co.kr/wd/221129
G-Research,"G-Research Dallas infrastructure/platform hub (One Victory Commons, Uptown)",office_hpc,self,Dallas,United States,"One Victory Commons, Victory Park / Uptown Dallas, TX",32.7905,-96.8103,approximate,operational,,,,,"Office/engineering hub — NOT a data centre. G-Research's own announcement places its Platform User Experience, Platform-as-a-Service and Software Engineering teams here. G-Research also markets a 'Dallas infrastructure hub' with HPC/data-centre engineering roles (Senior HPC Data Center Engineer, HPC Network/Storage/Hardware Engineer) that design/deploy/scale its data-centre and HPC-network estate ",reported,1,https://www.gresearch.com/news/celebrating-our-new-dallas-home/
G-Research,G-Research London research lab / HQ (1 Soho Place),on_prem_hq,self,London,United Kingdom,"1 Soho Place, London (corner of Oxford Street and Charing Cross Road)",51.5162,-0.1301,exact,operational,,,,,"1 Soho Place is a 102,600 sq ft office/research lab (top six floors of the Derwent London building) — NOT a data centre. G-Research's own video (Philip Bullock, US IaaS Lead) states the firm runs 'multiple eight megawatt data halls' of CPU+GPU compute, but the halls' physical locations are UNDISCLOSED and are not at Soho Place, so no MW is attached to this pin. Armada/Kubernetes scheduler runs job",inferred,4,https://www.gresearch.com/news/soho-place-a-new-home-for-our-research-lab/
GCI Asset Management (株式会社GCIアセット・マネジメント),"GCI Asset Management Tokyo HQ (Tokiwabashi Tower, Otemachi)",on_prem_hq,self,Tokyo,Japan,"9F, Tokiwabashi Tower, 2-6-4 Otemachi, Chiyoda-ku, Tokyo 100-0004",35.6866,139.7686,approximate,operational,,,,,"Headquarters of the ~USD 1.2bn systematic/quant asset manager and its research team (61 group staff as of Dec 2025; group offices in Singapore and London). No on-prem server room, HPC cluster, GPU count, or data-center capacity is disclosed in any public source; included as the firm's quant base and the natural location for any undisclosed on-prem compute. No self-built DC, colocation hall, named ",confirmed,2,https://www.gci.jp/en/
GCI Asset Management (株式会社GCIアセット・マネジメント),Kyoto Lab (former Myodoji temple AI/ML research facility),office_hpc,self,Kyoto,Japan,"29 Okazaki Higashifukunokawa-cho, Sakyo-ku, Kyoto-shi (former Rinzai-sect Myodoji temple)",35.0155,135.7897,approximate,operational,,,,,AI/big-data/machine-learning research and fund-manager incubation lab in a refurbished former Buddhist temple; joint research with Kyoto University Graduate School of Informatics (Prof. Ken Umeno) on stable distributions + machine learning for market prediction (started April 2020). Run by a general incorporated association (一般社団法人) that is also a ~33% shareholder in GCI. IMPORTANT: no public sour,confirmed,4,https://www.gci.jp/kyotolab/
GSA Capital,"Equinix LD5 (London, Slough)",colocation,Equinix,Slough,United Kingdom,"8 Buckingham Avenue, Slough, SL1 4AX",51.522463,-0.62905,exact,operational,,,,,"GSA Capital's network (AS203372) is listed as present at Equinix LD5 per PeeringDB self-reported data. LD5 sits on the Equinix Slough colocation campus (LD4/LD5/LD6/LD10), a dense UK financial/trading interconnection hub. GSA-specific cage, rack count and MW are not disclosed; presence is PeeringDB-reported, not operator-confirmed for GSA.",inferred,3,https://www.peeringdb.com/net/31909
GSA Capital,"GSA Capital HQ, Stratton House",on_prem_hq,self,London,United Kingdom,"Stratton House, 5 Stratton Street, London, W1J 8LA",51.507202,-0.14364,exact,operational,,,,,"Mayfair headquarters and registered/network address for GSA Capital Services (AS203372). The firm states it builds proprietary systems but discloses no on-prem compute room, HPC cluster, GPU count or MW. On-site compute is treated as office/IT hub only; production/latency-sensitive compute is at the colocation sites. Capacity fields null.",confirmed,3,https://find-and-update.company-information.service.gov.uk/company/05320529
GSA Capital,Telehouse London Docklands South,colocation,Telehouse (KDDI),London,United Kingdom,"1 Blackwall Way / Paul Julius Close, London E14",51.507041,-0.00339,exact,operational,,,,,"GSA Capital's network (AS203372) is listed present at Telehouse London Docklands South per PeeringDB self-reported data, and peers at LINX LON1 (2x10G) hosted in the Telehouse Docklands campus. GSA-specific rack count and MW are not disclosed; presence is PeeringDB-reported, not operator-confirmed for GSA.",inferred,2,https://www.peeringdb.com/net/31909
GTS,GTS Headquarters — 625 Sixth Avenue (Avenue of the Americas),on_prem_hq,self,New York,USA,"625 Sixth Avenue (Avenue of the Americas), 3rd Floor, New York, NY 10011",40.7399,-73.9945,exact,operational,,,,,"~35,156 sq ft on the 3rd floor of the five-story building, 15-year lease signed 2024, replacing former tenants eBay/PayPal and GTS's prior 545 Madison Ave office. Primary trading HQ. GTS job postings (not used as evidence here) reference an in-house data-center operations team and an ultra-low-latency production network, implying on-prem/managed trading kit, but no named compute hall, GPU/ML clust",confirmed,2,https://gtsx.com/locations/
GTS,GTS Office — 40 Wall Street,on_prem_hq,self,New York,USA,"40 Wall Street, 38th Floor, New York, NY 10005",40.7069,-74.0104,exact,operational,,,,,"Secondary NYC office retained alongside the Chelsea HQ; GTS is the NYSE's largest Designated Market Maker, and 40 Wall sits near NYSE floor operations. Office space, not a disclosed compute facility; no MW or server specs public.",confirmed,2,https://gtsx.com/locations/
GTS,"NYSE Data Center, Mahwah (GTS DMM execution presence — inferred)",colocation,NYSE / ICE (Intercontinental Exchange),Mahwah,USA,"1700 MacArthur Boulevard, Mahwah, NJ 07430",41.0887,-74.1418,exact,operational,,,,,"GTS acquired Barclays' NYSE Designated Market Maker business (announced Jan 2016, for 1,200+ listed securities) and is now the NYSE's largest DMM, per its own site 'responsible for the largest group of companies in the world.' Since the NYSE matching engine and colocation are in Mahwah, GTS's DMM/market-making execution stack is necessarily present there — but no public source names a specific GTS",inferred,3,https://gtsx.com/nyse-dmm/
GTS,"StrikeNet microwave network — CME Aurora (IL) ↔ NASDAQ Carteret (NJ) (HISTORICAL, sold to TMX 2014)",colocation,"Strike Technologies Services LLC (affiliate of Global Trading Systems LLC) — microwave network sold to TMX Group, completed Oct 31, 2014",Aurora / Carteret,USA,,41.7728,-88.1586,city_level,historical,,,,,"Strike Technologies Services LLC, an affiliate of Global Trading Systems LLC (GTS), built StrikeNET, an ultra-low-latency microwave network linking the CME data center in Aurora, IL and the NASDAQ data center in Carteret, NJ (record ~4.17 ms rack-to-rack, >99.7% availability). GTS agreed to sell the network to TMX Group in Aug 2014; the acquisition completed Oct 31, 2014 (operated thereafter by TM",reported,2,https://www.prnewswire.com/news-releases/strike-technologies-microwave-network-enables-417-millisecond-latencies-between-cme-and-nasdaq-datacenters-221146941.html
Graham Capital Management,AWS public-cloud compute (region undisclosed),cloud_region,Amazon Web Services,"Rowayton (Norwalk), Connecticut",United States,,,,symbolic,operational,,,,,"A firm Network Engineer job posting lists AWS as a PREFERRED qualification, signaling some public-cloud usage, but no AWS region, availability zone, instance type, GPU count, or MW is disclosed anywhere in the public record. Symbolic cloud pin per project convention; note this is a preferred-qualification signal, not a stated production deployment.",inferred,1,https://builtin.com/job/network-engineer/3961249
Graham Capital Management,"Graham Capital Management HQ (Rowayton campus, ""Rock Ledge"")",on_prem_hq,self,"Rowayton (Norwalk), Connecticut",United States,"40 Highland Avenue, Rowayton (Norwalk), CT 06853",41.07,-73.446,exact,operational,,,,,"Office campus: ~24,000 sq ft stone mansion plus ~80,000 sq ft contemporary office building (the historic Rock Ledge / Farrell Estate). On-premise network infrastructure exists per a firm job posting (Cisco/Palo Alto firewalls, routers, Ethernet and SAN switches), but NO publicly documented data center, dedicated server-room MW figure, or HPC hall. No power/grid/permit filing discloses compute load",confirmed,3,https://www.grahamcapital.com/contact-us/
Grasshopper,"CME Group co-location — Aurora, Illinois (facility not confirmed for Grasshopper)",colocation,CME Group,Aurora,United States,,,,symbolic,operational,,,,,"Execution colo, not ML compute. CME DMM status implies co-located access to CME Globex; CME co-location is at Aurora, IL. Specific hall, rack count and power undisclosed for Grasshopper.",inferred,2,https://cloud.google.com/customers/grasshopper
Grasshopper,"Grasshopper HQ — Anson House, Singapore",on_prem_hq,self,Singapore,Singapore,"72 Anson Road #09-01, Anson House, Singapore 079911",1.273953,103.84446,exact,operational,,,,,"Corporate HQ. Google's customer page gives a HISTORICAL firm-level account of infrastructure growth (a single desktop server in 2005, then 'added more servers and set up a dedicated server room', then 'turned to a data center for rack space', then 'data centers in different countries'). No source places a current data hall at Anson House, and no MW, rack count, or GPU/CPU figure is disclosed anywh",confirmed,2,https://grasshopperasia.com/contact/
Grasshopper,Grasshopper quantitative-research & ML compute on Google Cloud (region undisclosed),cloud_region,Google Cloud,Singapore,Singapore,,1.273953,103.84446,symbolic,operational,,,,,"Cloud research/ML footprint. Google's own customer page and press confirm use of Compute Engine, BigQuery, Cloud Dataflow, Cloud Bigtable, Cloud Storage and TensorFlow for quantitative research and ML on live market data, plus exchange connectivity where the firm lacks its own infrastructure. No named region/zone, no GPU/TPU type, no vCPU count, no MW disclosed.",confirmed,3,https://cloud.google.com/customers/grasshopper
Grasshopper,JPX (Japan Exchange) co-location — Tokyo (facility not named for Grasshopper),colocation,Japan Exchange Group (JPX),Tokyo,Japan,,,,symbolic,operational,,,,,"Execution colo, not ML compute. JPX DMM status plus FSA high-speed-trading approval imply co-located matching-engine access in Tokyo. Specific data centre, racks and power undisclosed for Grasshopper.",inferred,2,https://cloud.google.com/customers/grasshopper
Grasshopper,SGX co-location (market-maker rack space; specific building not named for Grasshopper),colocation,Singapore Exchange (SGX),Singapore,Singapore,,,,city_level,operational,,,,,"Execution colo, not ML compute. Google's page and Solace confirm Grasshopper is a designated market maker on SGX; Google's page describes co-located rack space at the exchange. Exact hall, rack count and power not disclosed for Grasshopper.",inferred,2,https://cloud.google.com/customers/grasshopper
Graviton Research Capital,"Graviton HQ / in-house HPC (DLF Cyber City, Gurugram)",office_hpc,self,Gurugram,India,"14th Floor, Tower C, DLF Building No. 8, DLF Cyber City, DLF Phase 2, Gurugram, Haryana 122002",28.4949,77.0895,exact,operational,,,,,"Corporate HQ and primary engineering site. Firm publicly runs in-house High-Performance Clusters and hires HPC Engineers, Network Engineers, Machine Learning Researchers, and Software Engineers here. No public rack count, GPU count, CPU-core count, or MW figure. Office/HPC location, not a disclosed standalone data hall.",confirmed,4,https://www.gravitontrading.com/contact-us.html
Graviton Research Capital,"NSE co-location + Mumbai data-centre ops (execution), Exchange Plaza, BKC, Mumbai",colocation,National Stock Exchange of India (NSE colo),Mumbai,India,,19.062,72.865,city_level,operational,,,,,"Graviton is a confirmed NSE trading member (member code 90041, SEBI INZ000002261) and a self-described ultra-low-latency HFT firm, implying NSE co-location for execution. NSE colo sits at Exchange Plaza, BKC, Mumbai (~1,400 racks, expanding to 4,000). A live Graviton Data Center Engineer JD names a physical-DC role for the 'Mumbai location' (racking/stacking, cabling, cooling, electrical, vendor m",inferred,4,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2918&h_MemType=members
Headlands Technologies,Headlands / Arkansas Tech Systems supercomputer data center (former Acxiom DC),self_build_dc,self,Little Rock,USA,"15900 Arkansas Systems Drive, Little Rock, AR 72223 (development-site address per CBRE; the actual facility is the adjacent former Acxiom data center building)",34.7642122,-92.4523936,approximate,planned,,,,,"Operator: Arkansas Tech Systems LLC, an affiliate/subsidiary of Headlands Tech Holdings LLC (self-build renovation of a purchased vacant end-of-life data center, the former Acxiom facility). Research/ML compute site: renovation into a 'state-of-the-art supercomputer' using direct-to-chip liquid cooling for extremely dense server infrastructure. City documents cite $120M new taxable capital investm",reported,5,https://www.cbre.com/properties/properties-for-lease/land/details/US-SMPL-184881/west-little-rock-development-site-15900-arkansas-systems-drive-little-rock-ar-72223
High-Flyer / DeepSeek,DeepSeek Ulanqab data centre (Inner Mongolia) — signalled by DeepSeek's own job postings,self_build_dc,self,Ulanqab,China,,41.02,113.11,city_level,planned,,,,,"First location DeepSeek has ever officially disclosed, via its own job ads. April 2026: DeepSeek posted roles in Ulanqab for a data-centre delivery manager and server maintenance / O&M engineer 'to oversee data centre launches' — SCMP notes this is the first time DeepSeek publicly advertised on-site roles tied to its computing infrastructure. A later IDC design/planning engineer posting frames a s",reported,4,https://www.scmp.com/tech/big-tech/article/3349741/deepseek-ramps-hiring-ahead-v4-launch-questions-swirl-over-chip-strategy
Hudson River Trading,"HRT research cloud / GPU-cloud compute — Google Cloud + Lambda (symbolic, New York)",cloud_region,Google Cloud; Lambda (GPU cloud),New York (symbolic HQ pin; actual regions/facilities undisclosed),USA,,40.7128,-74.006,symbolic,operational,,NVIDIA GPUs (Google Cloud); NVIDIA HGX B200 systems (Lambda),,,"Google Cloud (July 2024): HPC infrastructure incl. NVIDIA GPUs, Dynamic Workload Scheduler, and Spot/Preemptible VMs for HRT research. Lambda (2026): NVIDIA HGX B200 systems + networking, storage, orchestration, contracted as HRT's on-prem infrastructure reaches its ceiling. No named cloud region or data-center facility is disclosed by either provider — pin is symbolic at HQ.",confirmed,3,https://www.googlecloudpresscorner.com/2024-07-18-Google-Cloud-Enables-Hudson-River-Tradings-Automated-Trading-Evolution-with-High-Performance-Compute-and-AI-Infrastructure
Hudson River Trading,Hudson River Trading HQ — 3 World Trade Center (on-prem HQ / HPC environment),on_prem_hq,self,"New York, NY",USA,"3 World Trade Center, 175 Greenwich Street, New York, NY 10007 (HRT's own page lists the 76th Floor; press reports the expansion added the 72nd/73rd floors)",40.7115,-74.0111,exact,operational,,,,,"HRT global HQ at 3 WTC, 211,207 sq ft total (Commercial Observer). HRT's own page lists the 76th floor; press reports the December 2021 expansion added the 72nd/73rd floors — floor detail is inconsistent across sources. HRT describes 'one of the world's most advanced computing environments for research and development.' No named on-site data hall or MW is public — this is the operational HQ / HPC-",confirmed,3,https://www.hudsonrivertrading.com/contact/
Hudson River Trading,Lefdal Mine Datacenter — HRT AI research deployment (Norway),colocation,Lefdal Mine Datacenter AS (colocation venue); Dell AI Factory / IRSS infrastructure,"Måløy / Lefdal (Nordfjord), Kinn municipality, Vestland",Norway,"Gate 1 nr 101, 6700 Måløy (operator postal address); mine on the north shore of Nordfjord near Lefdal. HRT hall within the mine not disclosed.",61.934669,5.112483,approximate,operational,,"NVIDIA HGX B200 (Blackwell), in Dell PowerEdge XE9685L servers with AMD EPYC processors",,"No HRT-specific MW disclosed. HRT's own post states direct-liquid-cooled Blackwell racks operating above 125 kW per cabinet, but rack count is undisclosed. Venue-wide Lefdal capacity is stated as up to 200 MW (facility figure, not HRT's share) — left null per rules.","HRT 'recently opened' (Dell newsroom, May 14 2026) an AI research data center inside the Lefdal olivine mine. Dell AI Factory / Dell IRSS: direct-liquid-cooled Dell PowerEdge XE9685L (AMD EPYC) + NVIDIA HGX B200 + Dell/NVIDIA Spectrum-X Ethernet. HRT's own post: DLC Blackwell racks operating above 125 kW per cabinet. Cold-fjord-seawater cooling, 100% renewable (local hydro) power. GPU count, rack ",confirmed,4,https://www.dell.com/en-us/dt/corporate/newsroom/announcements/detailpage.press-releases~usa~2026~05~hudson-river-trading-expands-dell-deployment-to-power-ai-driven-research.htm
IMC Trading,CoreSite New York campus (colocation),colocation,CoreSite,Secaucus,United States,,40.7834,-74.0647,approximate,operational,,,,,"CoreSite's own IMC customer case study states IMC runs development and analytics environments, trading support systems and corporate IT functions on the CoreSite New York campus as part of a hybrid IT strategy, with native cloud onramps to major public clouds and 60+ networks. No cabinet/kW/MW figures disclosed. Case study names only 'New York campus' (NY1 Manhattan + NY2/NY3 Secaucus), so Secaucu",confirmed,3,https://www.coresite.com/customer-stories/navigating-the-global-securities-market-with-technology-driven-trading
Jane Street,"Jane Street AI training data center (Dallas, Texas)",self_build_dc,Jane Street (self; firm calls it 'our Texas datacenter'). Colocation/build operator not publicly named,Dallas,United States,,32.7767,-96.797,city_level,operational,4032,"Liquid-cooled NVIDIA GPUs; exact model not stated for the 4,032-GPU facility",,,"Jane Street's own ML careers page discloses 4,032 liquid-cooled GPUs and 1 exabyte+ storage, and firm-wide 'tens of thousands' of high-end GPUs. A May 2026 public video tour (Dwarkesh Patel) added, via press/social reporting, ~56 racks, ~8,000 km of fiber and up to ~140 kW per rack; these tour figures are reported, not on Jane Street's own page. Press (DCD/Bloomberg, Crypto Briefing/Bloomberg) pla",reported,3,https://www.datacenterdynamics.com/en/news/quant-trading-firm-jane-street-plans-data-center-report/
Jane Street,Jane Street on CoreWeave AI cloud (multiple unnamed CoreWeave facilities; symbolic pin at NYC HQ),cloud_region,CoreWeave (AI cloud). Specific facilities serving Jane Street not disclosed,New York,United States,,40.7147,-74.0154,symbolic,operational,,NVIDIA Vera Rubin (next-generation) per the 2026 agreement; earlier CoreWeave GPU generations under the pre-existing relationship,,,"$6bn AI cloud agreement announced Apr 2026 for next-generation compute 'across multiple facilities' including NVIDIA Vera Rubin, plus a separate $1bn equity investment in CoreWeave Class A stock at $109.00/share. Jane Street has been a CoreWeave customer and investor since 2024. Per CoreWeave's case study it receives direct connections and dedicated storage. No specific CoreWeave data center servi",confirmed,3,https://www.coreweave.com/news/jane-street-signs-6-billion-ai-cloud-agreement-with-coreweave
Jinge Liangrui (金戈量锐),"Jinge Liangrui Shanghai HQ office (Yanggao South Rd, Pudong)",on_prem_hq,self,Shanghai,China,,31.222,121.545,city_level,operational,,,,,"Corporate/research HQ office of an A-share systematic/quant manager (index enhancement + market-neutral). No public disclosure of any data centre, colocation hall, GPU cluster, cloud region, server count, or power draw. Compute footprint is entirely undisclosed; the absence of any named compute facility is the finding. (Reported AUM figures vary widely across secondary aggregators, ~5bn to 17bn+ R",inferred,3,https://gs.amac.org.cn/amac-infodisc/res/pof/manager/101000014139.html
Jump Trading,"Jump Trading HPC data center, Carrollton TX (colocation, operator undisclosed)",colocation,undisclosed colocation provider,Carrollton,USA,,32.9537,-96.8903,city_level,operational,,,,,"On-site hands-on HPC data-center role (racking/cabling servers, network, storage; interfacing directly with colocation providers and hardware vendors) based in Carrollton, TX, within Jump's 'IT Infrastructure + WCW' org. Job cites 'high-density cabinets and liquid cooling' and 'high-performance computing (HPC) clusters.' The 'Interface directly with colocation providers' language indicates Jump is",inferred,2,https://boards-api.greenhouse.io/v1/boards/jumptrading/jobs/7781600
Jump Trading,Jump Trading research compute anchor / NVIDIA Vera Rubin NVL72 AI trading factory (Chicago HQ symbolic pin),on_prem_hq,self,Chicago,USA,,41.8925,-87.6534,symbolic,operational,,NVIDIA Vera Rubin NVL72 (announced) + prior NVIDIA/CUDA generations,,,"Jump's own technology page (verified live via browser) states it runs 'three large, purpose-built research data centers and over 100 co-located compute environments near global exchanges' (cities not named). On 17 March 2026 Jump announced (own press release, verified live) it will be 'one of the first financial services enterprise customers to adopt NVIDIA Vera Rubin NVL72,' framed as a 'Deep Lea",confirmed,5,https://www.jumptrading.com/technology
Lingjun Investment (灵均),"Beijing headquarters server room (Dinghao DH3-A, Zhongguancun)",office_hpc,self,Beijing,China,,39.9812,116.3135,exact,operational,,,,,"HQ office with an on-premise server room (机房). Firm's own website advertises 存储容量10PB+ (10PB+ storage), 算力领先 持续投入 (leading compute, continuous investment), and 数据种类超100,000+ (100,000+ data types). Chinese press confirms Lingjun operates a Beijing 机房 alongside the Inner Mongolia site. These are firm-wide marketing figures, not tied to a MW rating; no GPU count or power figure is disclosed.",confirmed,2,https://www.lingjuninvest.com/
Lingjun Investment (灵均),Inner Mongolia supercomputer / AI-compute center,self_build_dc,self,Inner Mongolia (city undisclosed),China,,44.0,113.1,symbolic,operational,,,,,"Self-built supercomputer center reported established 'as early as 2022' (早在2022年) to provide the underlying compute base for the firm's AI. Chinese press (the '量化大厂的超算地图' article, published on Sina Finance and republished on 36Kr) states Lingjun runs server rooms (机房) in both Beijing and Inner Mongolia and built a 超算中心 in Inner Mongolia; Inner Mongolia chosen for abundant power and >80% green-elec",reported,3,https://finance.sina.com.cn/money/fund/jjzl/2024-12-18/doc-inczxeun0735741.shtml
Linitics,"Linitics HQ, Suntec Tower One",on_prem_hq,self,Singapore,Singapore,"7 Temasek Boulevard #12-07, Suntec Tower One, Singapore 038987",1.29508,103.85916,exact,operational,,,,,"Corporate headquarters only. Firm states all trading infrastructure is developed and operated in-house, but discloses no named data centre, colocation hall, cloud region, MW figure, or compute specs. No compute facility is publicly documented; this pin marks the only public physical location.",confirmed,3,https://linitics.com/contact/
Man Group (AHL/Numeric),Man Group HQ - Riverbank House (on-premises compute / data-hall anchor),on_prem_hq,self,London,United Kingdom,"Riverbank House, 2 Swan Lane, London EC4R 3AD",51.5097,-0.0885,exact,operational,,,,,"Man Group runs its ArcticDB data platform on its own on-premises flash storage ('flash drives in your local data center, which is the way we run it'), and Man AHL describes a platform built on 'specialised hardware'. No specific self-built or colocation data-centre building, floor area, rack count, GPU count or MW figure is publicly disclosed. This record anchors that on-prem/self-operated compute",confirmed,3,https://www.man.com/contact
